dataset,method,trustworthiness,continuity,score,silhouette_avg,silhouette_worst_10
har,MDS,0.9197614483836155,1.0032974673689523,0.9615294578762839,0.06168429327684535,"[30, 42, 546, 196, 298, 286, 129, 86, 106, 235]"
har,t-SNE × UMAP,0.9644067887612819,1.0017592040762635,0.9830829964187727,0.2265012413263321,"[575, 421, 407, 662, 127, 212, 230, 724, 580, 383]"
har,t-SNE × Isomap,0.96323523884692,1.0020775950474903,0.9826564169472052,0.22939789295196533,"[575, 421, 662, 407, 230, 580, 724, 212, 383, 326]"
har,t-SNE × MDS,0.9604591165590151,1.0020553130486607,0.9812572148038379,0.21631353612494783,"[726, 214, 326, 212, 724, 580, 407, 383, 230, 421]"
har,UMAP × Isomap,0.945983602596524,1.0028265923575428,0.9744050974770334,0.13760624825954437,"[144, 663, 575, 662, 407, 488, 127, 421, 318, 401]"
har,UMAP × MDS,0.945748970464271,1.0028322299717045,0.9742906002179877,0.1439773676718666,"[144, 663, 128, 36, 369, 694, 203, 160, 506, 248]"
har,Isomap × MDS,0.9086043414998202,1.0034719649501473,0.9560381532249838,0.024838502820132356,"[697, 526, 415, 107, 307, 23, 179, 22, 502, 552]"
iris,t-SNE,0.98965399109284,1.0025488180883864,0.9961014045906131,0.6169503927230835,"[106, 72, 83, 138, 127, 149, 121, 114, 126, 101]"
iris,UMAP,0.9815895854744776,1.004659129838986,0.9931243576567318,0.6571877002716064,"[106, 138, 72, 83, 149, 127, 121, 142, 126, 101]"
iris,Isomap,0.9716204179513532,1.0072147995889003,0.9894176087701267,0.5715731520879266,"[106, 121, 138, 126, 77, 127, 119, 52, 83, 113]"
iris,MDS,0.9761493662213087,1.005618362452895,0.9908838643371018,0.5266867997820759,"[106, 138, 77, 121, 126, 119, 52, 127, 113, 83]"
iris,t-SNE × UMAP,0.9818293936279547,1.0050359712230217,0.9934326824254882,0.658556342124939,"[106, 119, 133, 146, 123, 126, 70, 127, 83, 138]"
iris,t-SNE × Isomap,0.981041452552244,1.005090784515245,0.9930661185337445,0.6838335393917011,"[106, 70, 83, 119, 72, 133, 146, 123, 126, 68]"
iris,t-SNE × MDS,0.98,1.0054881808838643,0.9927440904419321,0.6757933552601066,"[106, 70, 83, 119, 72, 133, 146, 123, 126, 68]"
iris,UMAP × Isomap,0.9792052072627612,1.0058376156217883,0.9925214114422747,0.600752955480721,"[106, 121, 142, 113, 101, 114, 138, 149, 127, 126]"
iris,UMAP × MDS,0.9747995889003084,1.0062487153134636,0.9905241521068859,0.5796539500594139,"[106, 121, 142, 113, 101, 138, 114, 149, 127, 126]"
